#Graph:          replica_11gr_replica_11
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000589
                               6                         0.000676
                               7                         0.000777
                               8                         0.000885
                               9                            0.001
                              10                          0.00113
                              11                          0.00127
                              12                          0.00142
                              13                          0.00157
                              14                          0.00174
                              15                          0.00191
                              16                          0.00209
                              17                          0.00228
                              18                          0.00247
                              19                          0.00267
                              20                          0.00289
                              21                           0.0031
                              22                          0.00334
                              23                          0.00356
                              24                           0.0038
                              25                          0.00405
                              26                           0.0043
                              27                          0.00455
                              28                           0.0048
                              29                          0.00507
                              30                          0.00533
                              31                           0.0056
                              32                          0.00587
                              33                          0.00614
                              34                          0.00642
                              35                          0.00671
                              36                          0.00699
                              37                          0.00728
                              38                          0.00757
                              39                          0.00786
                              40                          0.00814
                              41                          0.00843
                              42                          0.00872
                              43                          0.00902
                              44                           0.0093
                              45                          0.00958
                              46                          0.00987
                              47                           0.0102
                              48                           0.0105
                              49                           0.0107
                              50                            0.011
                              51                           0.0113
                              52                           0.0116
                              53                           0.0119
                              54                           0.0121
                              55                           0.0124
                              56                           0.0127
                              57                            0.013
                              58                           0.0132
                              59                           0.0135
                              60                           0.0138
