#Graph:          replica_30gr_replica_30
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         9.39e-05
                               6                         0.000127
                               7                         0.000166
                               8                          0.00021
                               9                          0.00026
                              10                         0.000314
                              11                         0.000375
                              12                          0.00044
                              13                         0.000511
                              14                         0.000586
                              15                         0.000666
                              16                         0.000752
                              17                         0.000842
                              18                         0.000935
                              19                          0.00103
                              20                          0.00114
                              21                          0.00124
                              22                          0.00136
                              23                          0.00147
                              24                          0.00159
                              25                          0.00171
                              26                          0.00184
                              27                          0.00197
                              28                           0.0021
                              29                          0.00224
                              30                          0.00238
                              31                          0.00252
                              32                          0.00266
                              33                          0.00281
                              34                          0.00296
                              35                          0.00312
                              36                          0.00328
                              37                          0.00344
                              38                          0.00361
                              39                          0.00378
                              40                          0.00395
                              41                          0.00413
                              42                          0.00431
                              43                           0.0045
                              44                          0.00468
                              45                          0.00487
                              46                          0.00506
                              47                          0.00527
                              48                          0.00548
                              49                          0.00569
                              50                           0.0059
                              51                          0.00612
                              52                          0.00634
                              53                          0.00657
                              54                           0.0068
                              55                          0.00704
                              56                          0.00729
                              57                          0.00756
                              58                          0.00782
                              59                          0.00809
                              60                          0.00837
