#Graph:          replica_97gr_replica_97
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000327
                               6                          0.00043
                               7                         0.000549
                               8                         0.000679
                               9                         0.000824
                              10                          0.00098
                              11                          0.00115
                              12                          0.00133
                              13                          0.00153
                              14                          0.00173
                              15                          0.00194
                              16                          0.00217
                              17                          0.00241
                              18                          0.00264
                              19                           0.0029
                              20                          0.00316
                              21                          0.00342
                              22                          0.00371
                              23                          0.00399
                              24                          0.00427
                              25                          0.00457
                              26                          0.00487
                              27                          0.00517
                              28                          0.00548
                              29                          0.00579
                              30                          0.00611
                              31                          0.00642
                              32                          0.00674
                              33                          0.00706
                              34                          0.00738
                              35                          0.00771
                              36                          0.00804
                              37                          0.00837
                              38                          0.00871
                              39                          0.00904
                              40                          0.00935
                              41                          0.00969
                              42                             0.01
                              43                           0.0104
                              44                           0.0107
                              45                            0.011
                              46                           0.0113
                              47                           0.0117
                              48                            0.012
                              49                           0.0123
                              50                           0.0126
                              51                            0.013
                              52                           0.0133
                              53                           0.0136
                              54                           0.0139
                              55                           0.0142
                              56                           0.0145
                              57                           0.0148
                              58                           0.0151
                              59                           0.0155
                              60                           0.0158
