#Graph:          replica_12gr_replica_12
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000994
                               6                          0.00107
                               7                          0.00118
                               8                           0.0013
                               9                          0.00144
                              10                          0.00158
                              11                          0.00174
                              12                          0.00191
                              13                          0.00208
                              14                          0.00226
                              15                          0.00245
                              16                          0.00264
                              17                          0.00284
                              18                          0.00304
                              19                          0.00325
                              20                          0.00346
                              21                          0.00367
                              22                           0.0039
                              23                          0.00412
                              24                          0.00434
                              25                          0.00457
                              26                           0.0048
                              27                          0.00502
                              28                          0.00525
                              29                          0.00548
                              30                          0.00571
                              31                          0.00594
                              32                          0.00617
                              33                          0.00639
                              34                          0.00662
                              35                          0.00685
                              36                          0.00708
                              37                           0.0073
                              38                          0.00754
                              39                          0.00776
                              40                          0.00797
                              41                           0.0082
                              42                          0.00842
                              43                          0.00865
                              44                          0.00886
                              45                          0.00907
                              46                          0.00928
                              47                           0.0095
                              48                          0.00971
                              49                          0.00993
                              50                           0.0101
                              51                           0.0103
                              52                           0.0105
                              53                           0.0107
                              54                           0.0109
                              55                           0.0111
                              56                           0.0113
                              57                           0.0116
                              58                           0.0118
                              59                            0.012
                              60                           0.0122
