#Graph:          replica_79gr_replica_79
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                           0.0013
                               6                          0.00136
                               7                          0.00145
                               8                          0.00155
                               9                          0.00166
                              10                          0.00178
                              11                          0.00192
                              12                          0.00206
                              13                          0.00221
                              14                          0.00236
                              15                          0.00252
                              16                           0.0027
                              17                          0.00287
                              18                          0.00304
                              19                          0.00323
                              20                          0.00343
                              21                          0.00362
                              22                          0.00384
                              23                          0.00405
                              24                          0.00427
                              25                           0.0045
                              26                          0.00473
                              27                          0.00497
                              28                          0.00522
                              29                          0.00547
                              30                          0.00573
                              31                            0.006
                              32                          0.00627
                              33                          0.00655
                              34                          0.00684
                              35                          0.00714
                              36                          0.00745
                              37                          0.00776
                              38                          0.00809
                              39                          0.00842
                              40                          0.00874
                              41                          0.00909
                              42                          0.00944
                              43                          0.00981
                              44                           0.0102
                              45                           0.0105
                              46                           0.0109
                              47                           0.0113
                              48                           0.0117
                              49                           0.0121
                              50                           0.0125
                              51                           0.0129
                              52                           0.0133
                              53                           0.0137
                              54                           0.0141
                              55                           0.0145
                              56                            0.015
                              57                           0.0154
                              58                           0.0159
                              59                           0.0163
                              60                           0.0168
