#Graph:            replica_6gr_replica_6
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000517
                               6                         0.000665
                               7                         0.000828
                               8                         0.000999
                               9                          0.00118
                              10                          0.00137
                              11                          0.00157
                              12                          0.00177
                              13                          0.00198
                              14                          0.00219
                              15                          0.00241
                              16                          0.00264
                              17                          0.00286
                              18                          0.00309
                              19                          0.00332
                              20                          0.00356
                              21                          0.00379
                              22                          0.00405
                              23                          0.00429
                              24                          0.00453
                              25                          0.00478
                              26                          0.00503
                              27                          0.00527
                              28                          0.00552
                              29                          0.00577
                              30                          0.00603
                              31                          0.00628
                              32                          0.00653
                              33                          0.00679
                              34                          0.00704
                              35                          0.00731
                              36                          0.00757
                              37                          0.00783
                              38                          0.00811
                              39                          0.00837
                              40                          0.00863
                              41                          0.00891
                              42                          0.00918
                              43                          0.00947
                              44                          0.00974
                              45                             0.01
                              46                           0.0103
                              47                           0.0106
                              48                           0.0109
                              49                           0.0112
                              50                           0.0115
                              51                           0.0118
                              52                           0.0121
                              53                           0.0124
                              54                           0.0127
                              55                            0.013
                              56                           0.0133
                              57                           0.0136
                              58                            0.014
                              59                           0.0143
                              60                           0.0146
