#Graph:          replica_73gr_replica_73
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                           0.0014
                               6                          0.00159
                               7                          0.00179
                               8                          0.00198
                               9                          0.00217
                              10                          0.00235
                              11                          0.00255
                              12                          0.00273
                              13                          0.00291
                              14                          0.00309
                              15                          0.00327
                              16                          0.00345
                              17                          0.00363
                              18                          0.00379
                              19                          0.00397
                              20                          0.00414
                              21                           0.0043
                              22                          0.00448
                              23                          0.00465
                              24                          0.00481
                              25                          0.00498
                              26                          0.00514
                              27                           0.0053
                              28                          0.00546
                              29                          0.00562
                              30                          0.00579
                              31                          0.00595
                              32                          0.00611
                              33                          0.00627
                              34                          0.00644
                              35                          0.00661
                              36                          0.00678
                              37                          0.00695
                              38                          0.00714
                              39                          0.00731
                              40                          0.00748
                              41                          0.00767
                              42                          0.00786
                              43                          0.00806
                              44                          0.00825
                              45                          0.00845
                              46                          0.00865
                              47                          0.00887
                              48                          0.00909
                              49                          0.00931
                              50                          0.00954
                              51                          0.00977
                              52                             0.01
                              53                           0.0102
                              54                           0.0105
                              55                           0.0107
                              56                            0.011
                              57                           0.0113
                              58                           0.0116
                              59                           0.0119
                              60                           0.0122
