#Graph:          replica_31gr_replica_31
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000456
                               6                         0.000546
                               7                         0.000646
                               8                         0.000752
                               9                         0.000867
                              10                         0.000987
                              11                          0.00112
                              12                          0.00125
                              13                          0.00139
                              14                          0.00154
                              15                          0.00169
                              16                          0.00185
                              17                          0.00202
                              18                          0.00218
                              19                          0.00236
                              20                          0.00255
                              21                          0.00272
                              22                          0.00293
                              23                          0.00312
                              24                          0.00332
                              25                          0.00352
                              26                          0.00374
                              27                          0.00395
                              28                          0.00417
                              29                          0.00439
                              30                          0.00462
                              31                          0.00485
                              32                          0.00509
                              33                          0.00533
                              34                          0.00558
                              35                          0.00583
                              36                          0.00609
                              37                          0.00635
                              38                          0.00663
                              39                          0.00691
                              40                          0.00717
                              41                          0.00747
                              42                          0.00776
                              43                          0.00806
                              44                          0.00836
                              45                          0.00867
                              46                          0.00898
                              47                          0.00931
                              48                          0.00964
                              49                          0.00998
                              50                           0.0103
                              51                           0.0107
                              52                            0.011
                              53                           0.0114
                              54                           0.0118
                              55                           0.0121
                              56                           0.0125
                              57                           0.0129
                              58                           0.0133
                              59                           0.0138
                              60                           0.0142
