#Graph:          replica_37gr_replica_37
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000365
                               6                         0.000413
                               7                         0.000472
                               8                         0.000536
                               9                         0.000609
                              10                         0.000688
                              11                         0.000777
                              12                         0.000872
                              13                         0.000976
                              14                          0.00109
                              15                          0.00121
                              16                          0.00134
                              17                          0.00148
                              18                          0.00162
                              19                          0.00178
                              20                          0.00195
                              21                          0.00213
                              22                          0.00233
                              23                          0.00253
                              24                          0.00274
                              25                          0.00297
                              26                          0.00321
                              27                          0.00346
                              28                          0.00371
                              29                          0.00398
                              30                          0.00426
                              31                          0.00455
                              32                          0.00485
                              33                          0.00515
                              34                          0.00547
                              35                           0.0058
                              36                          0.00613
                              37                          0.00647
                              38                          0.00683
                              39                          0.00718
                              40                          0.00753
                              41                           0.0079
                              42                          0.00827
                              43                          0.00866
                              44                          0.00904
                              45                          0.00941
                              46                           0.0098
                              47                           0.0102
                              48                           0.0106
                              49                            0.011
                              50                           0.0114
                              51                           0.0118
                              52                           0.0122
                              53                           0.0126
                              54                            0.013
                              55                           0.0134
                              56                           0.0139
                              57                           0.0143
                              58                           0.0147
                              59                           0.0151
                              60                           0.0156
