#Graph:            replica_3gr_replica_3
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                        -4.37e-05
                               6                        -2.73e-05
                               7                          8.1e-06
                               8                         6.46e-05
                               9                         0.000143
                              10                         0.000243
                              11                         0.000367
                              12                         0.000513
                              13                         0.000683
                              14                         0.000874
                              15                          0.00109
                              16                          0.00132
                              17                          0.00158
                              18                          0.00185
                              19                          0.00215
                              20                          0.00247
                              21                          0.00279
                              22                          0.00315
                              23                          0.00351
                              24                          0.00389
                              25                          0.00429
                              26                           0.0047
                              27                          0.00512
                              28                          0.00555
                              29                          0.00599
                              30                          0.00644
                              31                           0.0069
                              32                          0.00736
                              33                          0.00784
                              34                          0.00832
                              35                          0.00881
                              36                          0.00931
                              37                           0.0098
                              38                           0.0103
                              39                           0.0108
                              40                           0.0113
                              41                           0.0118
                              42                           0.0124
                              43                           0.0129
                              44                           0.0134
                              45                           0.0139
                              46                           0.0144
                              47                            0.015
                              48                           0.0155
                              49                            0.016
                              50                           0.0165
                              51                           0.0171
                              52                           0.0176
                              53                           0.0181
                              54                           0.0186
                              55                           0.0191
                              56                           0.0197
                              57                           0.0202
                              58                           0.0207
                              59                           0.0213
                              60                           0.0218
