#Graph:          replica_83gr_replica_83
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                        -0.000357
                               6                        -0.000468
                               7                        -0.000483
                               8                        -0.000425
                               9                        -0.000312
                              10                        -0.000157
                              11                         3.64e-05
                              12                          0.00026
                              13                         0.000509
                              14                         0.000782
                              15                          0.00107
                              16                          0.00138
                              17                          0.00171
                              18                          0.00204
                              19                          0.00239
                              20                          0.00275
                              21                          0.00311
                              22                          0.00349
                              23                          0.00387
                              24                          0.00426
                              25                          0.00465
                              26                          0.00504
                              27                          0.00543
                              28                          0.00583
                              29                          0.00623
                              30                          0.00663
                              31                          0.00702
                              32                          0.00742
                              33                          0.00781
                              34                          0.00821
                              35                          0.00861
                              36                          0.00902
                              37                          0.00941
                              38                          0.00981
                              39                           0.0102
                              40                           0.0106
                              41                            0.011
                              42                           0.0114
                              43                           0.0118
                              44                           0.0122
                              45                           0.0125
                              46                           0.0129
                              47                           0.0133
                              48                           0.0137
                              49                           0.0141
                              50                           0.0145
                              51                           0.0149
                              52                           0.0152
                              53                           0.0156
                              54                            0.016
                              55                           0.0164
                              56                           0.0168
                              57                           0.0172
                              58                           0.0176
                              59                            0.018
                              60                           0.0184
