#Graph:          replica_49gr_replica_49
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000121
                               6                         0.000192
                               7                         0.000273
                               8                          0.00036
                               9                         0.000455
                              10                         0.000557
                              11                         0.000667
                              12                         0.000783
                              13                         0.000904
                              14                          0.00103
                              15                          0.00116
                              16                           0.0013
                              17                          0.00145
                              18                          0.00159
                              19                          0.00174
                              20                           0.0019
                              21                          0.00206
                              22                          0.00223
                              23                           0.0024
                              24                          0.00257
                              25                          0.00274
                              26                          0.00292
                              27                           0.0031
                              28                          0.00329
                              29                          0.00348
                              30                          0.00367
                              31                          0.00386
                              32                          0.00405
                              33                          0.00424
                              34                          0.00444
                              35                          0.00465
                              36                          0.00485
                              37                          0.00505
                              38                          0.00526
                              39                          0.00547
                              40                          0.00567
                              41                          0.00588
                              42                          0.00609
                              43                           0.0063
                              44                          0.00651
                              45                          0.00672
                              46                          0.00692
                              47                          0.00715
                              48                          0.00736
                              49                          0.00757
                              50                          0.00779
                              51                            0.008
                              52                           0.0082
                              53                          0.00842
                              54                          0.00863
                              55                          0.00884
                              56                          0.00906
                              57                          0.00929
                              58                           0.0095
                              59                          0.00973
                              60                          0.00994
