#Graph:          replica_91gr_replica_91
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                        -4.05e-06
                               6                         5.37e-06
                               7                         1.96e-05
                               8                         3.94e-05
                               9                         6.53e-05
                              10                         9.78e-05
                              11                         0.000138
                              12                         0.000185
                              13                          0.00024
                              14                         0.000303
                              15                         0.000374
                              16                         0.000454
                              17                         0.000542
                              18                         0.000638
                              19                         0.000744
                              20                          0.00086
                              21                          0.00098
                              22                          0.00111
                              23                          0.00125
                              24                           0.0014
                              25                          0.00156
                              26                          0.00172
                              27                          0.00189
                              28                          0.00207
                              29                          0.00226
                              30                          0.00246
                              31                          0.00265
                              32                          0.00286
                              33                          0.00307
                              34                          0.00329
                              35                          0.00352
                              36                          0.00375
                              37                          0.00399
                              38                          0.00423
                              39                          0.00448
                              40                          0.00473
                              41                          0.00499
                              42                          0.00525
                              43                          0.00552
                              44                          0.00578
                              45                          0.00605
                              46                          0.00632
                              47                          0.00661
                              48                          0.00688
                              49                          0.00717
                              50                          0.00746
                              51                          0.00775
                              52                          0.00803
                              53                          0.00833
                              54                          0.00861
                              55                          0.00891
                              56                          0.00922
                              57                          0.00953
                              58                          0.00983
                              59                           0.0101
                              60                           0.0104
