#Graph:          replica_59gr_replica_59
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000356
                               6                         0.000506
                               7                         0.000684
                               8                         0.000884
                               9                           0.0011
                              10                          0.00134
                              11                           0.0016
                              12                          0.00187
                              13                          0.00214
                              14                          0.00243
                              15                          0.00273
                              16                          0.00304
                              17                          0.00335
                              18                          0.00365
                              19                          0.00398
                              20                          0.00431
                              21                          0.00462
                              22                          0.00497
                              23                           0.0053
                              24                          0.00563
                              25                          0.00597
                              26                          0.00631
                              27                          0.00664
                              28                          0.00698
                              29                          0.00731
                              30                          0.00766
                              31                          0.00799
                              32                          0.00833
                              33                          0.00867
                              34                          0.00901
                              35                          0.00936
                              36                          0.00971
                              37                             0.01
                              38                           0.0104
                              39                           0.0107
                              40                           0.0111
                              41                           0.0114
                              42                           0.0118
                              43                           0.0121
                              44                           0.0125
                              45                           0.0128
                              46                           0.0132
                              47                           0.0135
                              48                           0.0139
                              49                           0.0142
                              50                           0.0146
                              51                            0.015
                              52                           0.0153
                              53                           0.0156
                              54                            0.016
                              55                           0.0164
                              56                           0.0167
                              57                           0.0171
                              58                           0.0175
                              59                           0.0178
                              60                           0.0182
