#Graph:          replica_19gr_replica_19
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000608
                               6                         0.000812
                               7                          0.00104
                               8                          0.00128
                               9                          0.00155
                              10                          0.00183
                              11                          0.00213
                              12                          0.00244
                              13                          0.00277
                              14                          0.00311
                              15                          0.00346
                              16                          0.00382
                              17                           0.0042
                              18                          0.00457
                              19                          0.00497
                              20                          0.00538
                              21                          0.00578
                              22                          0.00622
                              23                          0.00664
                              24                          0.00707
                              25                          0.00751
                              26                          0.00796
                              27                           0.0084
                              28                          0.00885
                              29                          0.00931
                              30                          0.00977
                              31                           0.0102
                              32                           0.0107
                              33                           0.0112
                              34                           0.0116
                              35                           0.0121
                              36                           0.0126
                              37                           0.0131
                              38                           0.0136
                              39                           0.0141
                              40                           0.0145
                              41                            0.015
                              42                           0.0155
                              43                           0.0161
                              44                           0.0166
                              45                            0.017
                              46                           0.0175
                              47                           0.0181
                              48                           0.0186
                              49                           0.0191
                              50                           0.0196
                              51                           0.0202
                              52                           0.0207
                              53                           0.0212
                              54                           0.0217
                              55                           0.0222
                              56                           0.0228
                              57                           0.0234
                              58                           0.0239
                              59                           0.0245
                              60                            0.025
