#Graph:          replica_40gr_replica_40
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                        -6.77e-05
                               6                         -9.4e-05
                               7                        -0.000113
                               8                        -0.000124
                               9                        -0.000126
                              10                        -0.000117
                              11                        -9.54e-05
                              12                        -6.14e-05
                              13                        -1.31e-05
                              14                         4.99e-05
                              15                         0.000128
                              16                         0.000223
                              17                         0.000334
                              18                         0.000461
                              19                         0.000608
                              20                          0.00077
                              21                         0.000947
                              22                          0.00115
                              23                          0.00136
                              24                          0.00159
                              25                          0.00183
                              26                           0.0021
                              27                          0.00237
                              28                          0.00266
                              29                          0.00296
                              30                          0.00328
                              31                          0.00361
                              32                          0.00395
                              33                           0.0043
                              34                          0.00466
                              35                          0.00504
                              36                          0.00542
                              37                          0.00581
                              38                          0.00622
                              39                          0.00663
                              40                          0.00703
                              41                          0.00746
                              42                          0.00788
                              43                          0.00832
                              44                          0.00875
                              45                          0.00918
                              46                          0.00962
                              47                           0.0101
                              48                           0.0105
                              49                            0.011
                              50                           0.0114
                              51                           0.0119
                              52                           0.0123
                              53                           0.0128
                              54                           0.0132
                              55                           0.0137
                              56                           0.0141
                              57                           0.0146
                              58                            0.015
                              59                           0.0155
                              60                           0.0159
