#Graph:          replica_93gr_replica_93
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                        -0.000181
                               6                        -0.000207
                               7                        -0.000194
                               8                        -0.000144
                               9                        -6.06e-05
                              10                         5.34e-05
                              11                         0.000199
                              12                         0.000374
                              13                         0.000575
                              14                         0.000802
                              15                          0.00105
                              16                          0.00133
                              17                          0.00162
                              18                          0.00193
                              19                          0.00227
                              20                          0.00262
                              21                          0.00298
                              22                          0.00337
                              23                          0.00375
                              24                          0.00416
                              25                          0.00457
                              26                          0.00499
                              27                          0.00542
                              28                          0.00586
                              29                           0.0063
                              30                          0.00675
                              31                           0.0072
                              32                          0.00765
                              33                          0.00811
                              34                          0.00857
                              35                          0.00904
                              36                          0.00951
                              37                          0.00997
                              38                           0.0105
                              39                           0.0109
                              40                           0.0114
                              41                           0.0119
                              42                           0.0123
                              43                           0.0128
                              44                           0.0133
                              45                           0.0137
                              46                           0.0142
                              47                           0.0147
                              48                           0.0152
                              49                           0.0156
                              50                           0.0161
                              51                           0.0166
                              52                            0.017
                              53                           0.0175
                              54                            0.018
                              55                           0.0184
                              56                           0.0189
                              57                           0.0194
                              58                           0.0199
                              59                           0.0204
                              60                           0.0208
