#Graph:          replica_25gr_replica_25
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                          0.00069
                               6                         0.000894
                               7                          0.00112
                               8                          0.00137
                               9                          0.00164
                              10                          0.00192
                              11                          0.00223
                              12                          0.00255
                              13                          0.00289
                              14                          0.00324
                              15                           0.0036
                              16                          0.00398
                              17                          0.00437
                              18                          0.00476
                              19                          0.00517
                              20                           0.0056
                              21                          0.00602
                              22                          0.00647
                              23                          0.00691
                              24                          0.00736
                              25                          0.00781
                              26                          0.00827
                              27                          0.00873
                              28                          0.00919
                              29                          0.00966
                              30                           0.0101
                              31                           0.0106
                              32                           0.0111
                              33                           0.0115
                              34                            0.012
                              35                           0.0125
                              36                            0.013
                              37                           0.0135
                              38                            0.014
                              39                           0.0144
                              40                           0.0149
                              41                           0.0154
                              42                           0.0158
                              43                           0.0163
                              44                           0.0168
                              45                           0.0173
                              46                           0.0177
                              47                           0.0182
                              48                           0.0187
                              49                           0.0192
                              50                           0.0196
                              51                           0.0201
                              52                           0.0205
                              53                            0.021
                              54                           0.0214
                              55                           0.0219
                              56                           0.0224
                              57                           0.0228
                              58                           0.0233
                              59                           0.0238
                              60                           0.0242
