#Graph:          replica_45gr_replica_45
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000188
                               6                           0.0003
                               7                         0.000434
                               8                         0.000587
                               9                         0.000759
                              10                         0.000944
                              11                          0.00115
                              12                          0.00136
                              13                          0.00159
                              14                          0.00182
                              15                          0.00206
                              16                          0.00231
                              17                          0.00256
                              18                          0.00281
                              19                          0.00307
                              20                          0.00334
                              21                          0.00359
                              22                          0.00386
                              23                          0.00412
                              24                          0.00437
                              25                          0.00463
                              26                          0.00488
                              27                          0.00512
                              28                          0.00537
                              29                           0.0056
                              30                          0.00583
                              31                          0.00606
                              32                          0.00628
                              33                          0.00649
                              34                          0.00669
                              35                           0.0069
                              36                           0.0071
                              37                          0.00728
                              38                          0.00747
                              39                          0.00764
                              40                           0.0078
                              41                          0.00796
                              42                          0.00812
                              43                          0.00828
                              44                          0.00841
                              45                          0.00854
                              46                          0.00866
                              47                          0.00879
                              48                           0.0089
                              49                          0.00902
                              50                          0.00912
                              51                          0.00922
                              52                          0.00929
                              53                          0.00938
                              54                          0.00945
                              55                          0.00952
                              56                           0.0096
                              57                          0.00967
                              58                          0.00972
                              59                          0.00979
                              60                          0.00983
