#Graph:            replica_9gr_replica_9
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                          8.2e-06
                               6                         4.51e-05
                               7                         0.000101
                               8                         0.000177
                               9                         0.000275
                              10                         0.000397
                              11                         0.000544
                              12                         0.000716
                              13                         0.000914
                              14                          0.00114
                              15                          0.00138
                              16                          0.00166
                              17                          0.00196
                              18                          0.00229
                              19                          0.00264
                              20                          0.00302
                              21                          0.00341
                              22                          0.00385
                              23                          0.00429
                              24                          0.00476
                              25                          0.00525
                              26                          0.00576
                              27                          0.00628
                              28                          0.00682
                              29                          0.00738
                              30                          0.00796
                              31                          0.00853
                              32                          0.00913
                              33                          0.00973
                              34                           0.0103
                              35                            0.011
                              36                           0.0116
                              37                           0.0122
                              38                           0.0129
                              39                           0.0136
                              40                           0.0142
                              41                           0.0148
                              42                           0.0155
                              43                           0.0162
                              44                           0.0168
                              45                           0.0174
                              46                           0.0181
                              47                           0.0187
                              48                           0.0194
                              49                             0.02
                              50                           0.0206
                              51                           0.0212
                              52                           0.0218
                              53                           0.0224
                              54                            0.023
                              55                           0.0236
                              56                           0.0241
                              57                           0.0247
                              58                           0.0253
                              59                           0.0258
                              60                           0.0263
