#Graph:          replica_43gr_replica_43
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                        -0.000116
                               6                        -0.000144
                               7                        -0.000151
                               8                        -0.000139
                               9                        -0.000107
                              10                        -5.77e-05
                              11                         1.02e-05
                              12                         9.56e-05
                              13                         0.000198
                              14                         0.000318
                              15                         0.000454
                              16                         0.000608
                              17                         0.000778
                              18                         0.000963
                              19                          0.00117
                              20                          0.00139
                              21                          0.00162
                              22                          0.00188
                              23                          0.00214
                              24                          0.00242
                              25                          0.00272
                              26                          0.00303
                              27                          0.00335
                              28                          0.00369
                              29                          0.00405
                              30                          0.00442
                              31                          0.00479
                              32                          0.00518
                              33                          0.00559
                              34                            0.006
                              35                          0.00643
                              36                          0.00688
                              37                          0.00733
                              38                           0.0078
                              39                          0.00827
                              40                          0.00874
                              41                          0.00924
                              42                          0.00975
                              43                           0.0103
                              44                           0.0108
                              45                           0.0113
                              46                           0.0118
                              47                           0.0124
                              48                           0.0129
                              49                           0.0135
                              50                           0.0141
                              51                           0.0146
                              52                           0.0152
                              53                           0.0158
                              54                           0.0163
                              55                           0.0169
                              56                           0.0175
                              57                           0.0181
                              58                           0.0187
                              59                           0.0193
                              60                           0.0199
