#Graph:          replica_14gr_replica_14
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000119
                               6                         0.000184
                               7                         0.000263
                               8                         0.000355
                               9                         0.000459
                              10                         0.000575
                              11                         0.000705
                              12                         0.000847
                              13                         0.000999
                              14                          0.00116
                              15                          0.00133
                              16                          0.00152
                              17                          0.00171
                              18                          0.00191
                              19                          0.00212
                              20                          0.00234
                              21                          0.00256
                              22                          0.00281
                              23                          0.00304
                              24                          0.00329
                              25                          0.00354
                              26                           0.0038
                              27                          0.00406
                              28                          0.00433
                              29                           0.0046
                              30                          0.00488
                              31                          0.00515
                              32                          0.00543
                              33                          0.00571
                              34                            0.006
                              35                          0.00629
                              36                          0.00659
                              37                          0.00688
                              38                          0.00719
                              39                          0.00749
                              40                          0.00778
                              41                          0.00809
                              42                          0.00839
                              43                          0.00871
                              44                          0.00901
                              45                          0.00931
                              46                          0.00962
                              47                          0.00995
                              48                           0.0103
                              49                           0.0106
                              50                           0.0109
                              51                           0.0112
                              52                           0.0115
                              53                           0.0118
                              54                           0.0122
                              55                           0.0125
                              56                           0.0128
                              57                           0.0131
                              58                           0.0135
                              59                           0.0138
                              60                           0.0141
