#Graph:          replica_33gr_replica_33
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000207
                               6                          0.00027
                               7                         0.000348
                               8                         0.000441
                               9                         0.000551
                              10                         0.000679
                              11                         0.000829
                              12                            0.001
                              13                           0.0012
                              14                          0.00141
                              15                          0.00166
                              16                          0.00193
                              17                          0.00222
                              18                          0.00253
                              19                          0.00288
                              20                          0.00325
                              21                          0.00363
                              22                          0.00405
                              23                          0.00448
                              24                          0.00492
                              25                          0.00539
                              26                          0.00587
                              27                          0.00636
                              28                          0.00686
                              29                          0.00738
                              30                          0.00791
                              31                          0.00843
                              32                          0.00897
                              33                          0.00951
                              34                           0.0101
                              35                           0.0106
                              36                           0.0112
                              37                           0.0117
                              38                           0.0123
                              39                           0.0129
                              40                           0.0134
                              41                            0.014
                              42                           0.0145
                              43                           0.0151
                              44                           0.0156
                              45                           0.0161
                              46                           0.0167
                              47                           0.0172
                              48                           0.0178
                              49                           0.0183
                              50                           0.0188
                              51                           0.0193
                              52                           0.0198
                              53                           0.0203
                              54                           0.0207
                              55                           0.0212
                              56                           0.0217
                              57                           0.0222
                              58                           0.0226
                              59                           0.0231
                              60                           0.0235
