#Graph:          replica_27gr_replica_27
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                          0.00049
                               6                         0.000565
                               7                         0.000658
                               8                         0.000761
                               9                         0.000879
                              10                          0.00101
                              11                          0.00115
                              12                          0.00131
                              13                          0.00148
                              14                          0.00167
                              15                          0.00187
                              16                          0.00208
                              17                          0.00231
                              18                          0.00255
                              19                          0.00281
                              20                          0.00309
                              21                          0.00337
                              22                          0.00368
                              23                            0.004
                              24                          0.00432
                              25                          0.00466
                              26                          0.00501
                              27                          0.00537
                              28                          0.00574
                              29                          0.00612
                              30                          0.00651
                              31                           0.0069
                              32                           0.0073
                              33                          0.00771
                              34                          0.00812
                              35                          0.00855
                              36                          0.00898
                              37                          0.00941
                              38                          0.00986
                              39                           0.0103
                              40                           0.0107
                              41                           0.0112
                              42                           0.0116
                              43                           0.0121
                              44                           0.0126
                              45                            0.013
                              46                           0.0135
                              47                            0.014
                              48                           0.0144
                              49                           0.0149
                              50                           0.0154
                              51                           0.0159
                              52                           0.0164
                              53                           0.0168
                              54                           0.0173
                              55                           0.0178
                              56                           0.0183
                              57                           0.0189
                              58                           0.0194
                              59                           0.0199
                              60                           0.0204
