#Graph:          replica_65gr_replica_65
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000327
                               6                         0.000412
                               7                          0.00051
                               8                         0.000616
                               9                         0.000734
                              10                         0.000861
                              11                            0.001
                              12                          0.00115
                              13                          0.00131
                              14                          0.00148
                              15                          0.00166
                              16                          0.00186
                              17                          0.00206
                              18                          0.00227
                              19                          0.00249
                              20                          0.00273
                              21                          0.00297
                              22                          0.00323
                              23                          0.00349
                              24                          0.00377
                              25                          0.00405
                              26                          0.00435
                              27                          0.00465
                              28                          0.00496
                              29                          0.00528
                              30                          0.00561
                              31                          0.00595
                              32                           0.0063
                              33                          0.00665
                              34                          0.00702
                              35                           0.0074
                              36                          0.00779
                              37                          0.00818
                              38                          0.00859
                              39                            0.009
                              40                          0.00941
                              41                          0.00985
                              42                           0.0103
                              43                           0.0107
                              44                           0.0112
                              45                           0.0116
                              46                           0.0121
                              47                           0.0126
                              48                           0.0131
                              49                           0.0136
                              50                           0.0141
                              51                           0.0146
                              52                           0.0151
                              53                           0.0157
                              54                           0.0162
                              55                           0.0167
                              56                           0.0173
                              57                           0.0179
                              58                           0.0184
                              59                            0.019
                              60                           0.0196
