#Graph:          replica_64gr_replica_64
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000127
                               6                         0.000164
                               7                         0.000207
                               8                         0.000255
                               9                         0.000309
                              10                         0.000369
                              11                         0.000437
                              12                         0.000511
                              13                         0.000593
                              14                         0.000683
                              15                          0.00078
                              16                         0.000888
                              17                            0.001
                              18                          0.00113
                              19                          0.00126
                              20                          0.00141
                              21                          0.00156
                              22                          0.00173
                              23                           0.0019
                              24                          0.00209
                              25                          0.00229
                              26                           0.0025
                              27                          0.00271
                              28                          0.00294
                              29                          0.00318
                              30                          0.00343
                              31                          0.00369
                              32                          0.00396
                              33                          0.00424
                              34                          0.00453
                              35                          0.00483
                              36                          0.00514
                              37                          0.00545
                              38                          0.00578
                              39                          0.00612
                              40                          0.00645
                              41                           0.0068
                              42                          0.00715
                              43                          0.00752
                              44                          0.00788
                              45                          0.00824
                              46                          0.00861
                              47                            0.009
                              48                          0.00937
                              49                          0.00977
                              50                           0.0102
                              51                           0.0105
                              52                           0.0109
                              53                           0.0113
                              54                           0.0117
                              55                           0.0121
                              56                           0.0125
                              57                           0.0129
                              58                           0.0133
                              59                           0.0137
                              60                            0.014
