#Graph:          replica_70gr_replica_70
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                        -0.000209
                               6                        -0.000269
                               7                         -0.00028
                               8                        -0.000244
                               9                        -0.000167
                              10                        -5.35e-05
                              11                         9.66e-05
                              12                         0.000279
                              13                         0.000493
                              14                         0.000735
                              15                            0.001
                              16                           0.0013
                              17                          0.00162
                              18                          0.00196
                              19                          0.00233
                              20                          0.00271
                              21                          0.00311
                              22                          0.00353
                              23                          0.00396
                              24                          0.00441
                              25                          0.00486
                              26                          0.00534
                              27                          0.00581
                              28                          0.00629
                              29                          0.00678
                              30                          0.00728
                              31                          0.00778
                              32                          0.00828
                              33                          0.00878
                              34                          0.00929
                              35                          0.00979
                              36                           0.0103
                              37                           0.0108
                              38                           0.0113
                              39                           0.0118
                              40                           0.0123
                              41                           0.0128
                              42                           0.0133
                              43                           0.0138
                              44                           0.0142
                              45                           0.0147
                              46                           0.0151
                              47                           0.0156
                              48                            0.016
                              49                           0.0164
                              50                           0.0168
                              51                           0.0172
                              52                           0.0176
                              53                            0.018
                              54                           0.0183
                              55                           0.0187
                              56                           0.0191
                              57                           0.0194
                              58                           0.0197
                              59                             0.02
                              60                           0.0203
