#Graph:          replica_74gr_replica_74
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                        -0.000181
                               6                        -0.000279
                               7                        -0.000325
                               8                        -0.000327
                               9                        -0.000292
                              10                        -0.000227
                              11                        -0.000132
                              12                        -1.24e-05
                              13                         0.000131
                              14                         0.000295
                              15                         0.000478
                              16                         0.000678
                              17                         0.000895
                              18                          0.00112
                              19                          0.00137
                              20                          0.00163
                              21                          0.00189
                              22                          0.00217
                              23                          0.00246
                              24                          0.00275
                              25                          0.00305
                              26                          0.00336
                              27                          0.00367
                              28                          0.00398
                              29                           0.0043
                              30                          0.00462
                              31                          0.00494
                              32                          0.00527
                              33                          0.00559
                              34                          0.00592
                              35                          0.00626
                              36                          0.00659
                              37                          0.00692
                              38                          0.00727
                              39                           0.0076
                              40                          0.00792
                              41                          0.00826
                              42                           0.0086
                              43                          0.00895
                              44                          0.00928
                              45                          0.00961
                              46                          0.00994
                              47                           0.0103
                              48                           0.0106
                              49                            0.011
                              50                           0.0113
                              51                           0.0117
                              52                            0.012
                              53                           0.0124
                              54                           0.0127
                              55                           0.0131
                              56                           0.0134
                              57                           0.0138
                              58                           0.0142
                              59                           0.0146
                              60                            0.015
