#Graph:          replica_29gr_replica_29
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000519
                               6                         0.000616
                               7                         0.000726
                               8                         0.000841
                               9                         0.000965
                              10                          0.00109
                              11                          0.00123
                              12                          0.00138
                              13                          0.00153
                              14                          0.00169
                              15                          0.00185
                              16                          0.00202
                              17                           0.0022
                              18                          0.00237
                              19                          0.00256
                              20                          0.00275
                              21                          0.00294
                              22                          0.00315
                              23                          0.00335
                              24                          0.00356
                              25                          0.00377
                              26                          0.00399
                              27                          0.00421
                              28                          0.00443
                              29                          0.00466
                              30                          0.00489
                              31                          0.00513
                              32                          0.00536
                              33                           0.0056
                              34                          0.00585
                              35                           0.0061
                              36                          0.00636
                              37                          0.00661
                              38                          0.00688
                              39                          0.00715
                              40                          0.00741
                              41                          0.00768
                              42                          0.00796
                              43                          0.00825
                              44                          0.00853
                              45                          0.00881
                              46                          0.00911
                              47                          0.00942
                              48                          0.00972
                              49                             0.01
                              50                           0.0103
                              51                           0.0107
                              52                            0.011
                              53                           0.0113
                              54                           0.0116
                              55                            0.012
                              56                           0.0123
                              57                           0.0127
                              58                            0.013
                              59                           0.0134
                              60                           0.0138
