#Graph:          replica_21gr_replica_21
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                        -0.000147
                               6                        -0.000143
                               7                        -9.85e-05
                               8                        -1.53e-05
                               9                         0.000105
                              10                         0.000259
                              11                         0.000448
                              12                         0.000667
                              13                         0.000914
                              14                          0.00119
                              15                          0.00148
                              16                           0.0018
                              17                          0.00214
                              18                          0.00249
                              19                          0.00286
                              20                          0.00325
                              21                          0.00364
                              22                          0.00406
                              23                          0.00447
                              24                          0.00489
                              25                          0.00532
                              26                          0.00576
                              27                          0.00619
                              28                          0.00663
                              29                          0.00707
                              30                          0.00751
                              31                          0.00794
                              32                          0.00837
                              33                           0.0088
                              34                          0.00923
                              35                          0.00966
                              36                           0.0101
                              37                           0.0105
                              38                           0.0109
                              39                           0.0113
                              40                           0.0117
                              41                           0.0121
                              42                           0.0125
                              43                           0.0129
                              44                           0.0133
                              45                           0.0136
                              46                            0.014
                              47                           0.0143
                              48                           0.0147
                              49                            0.015
                              50                           0.0153
                              51                           0.0157
                              52                           0.0159
                              53                           0.0162
                              54                           0.0165
                              55                           0.0168
                              56                           0.0171
                              57                           0.0174
                              58                           0.0177
                              59                           0.0179
                              60                           0.0182
