#Graph:          replica_96gr_replica_96
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                        -1.51e-05
                               6                        -6.05e-06
                               7                         9.82e-06
                               8                         3.33e-05
                               9                         6.45e-05
                              10                         0.000104
                              11                         0.000152
                              12                         0.000208
                              13                         0.000273
                              14                         0.000346
                              15                         0.000427
                              16                         0.000517
                              17                         0.000615
                              18                         0.000719
                              19                         0.000834
                              20                         0.000958
                              21                          0.00109
                              22                          0.00123
                              23                          0.00137
                              24                          0.00152
                              25                          0.00168
                              26                          0.00185
                              27                          0.00202
                              28                           0.0022
                              29                          0.00238
                              30                          0.00257
                              31                          0.00277
                              32                          0.00297
                              33                          0.00317
                              34                          0.00339
                              35                          0.00361
                              36                          0.00383
                              37                          0.00406
                              38                           0.0043
                              39                          0.00455
                              40                          0.00478
                              41                          0.00504
                              42                           0.0053
                              43                          0.00556
                              44                          0.00583
                              45                           0.0061
                              46                          0.00637
                              47                          0.00666
                              48                          0.00695
                              49                          0.00725
                              50                          0.00755
                              51                          0.00786
                              52                          0.00816
                              53                          0.00848
                              54                           0.0088
                              55                          0.00912
                              56                          0.00946
                              57                          0.00982
                              58                           0.0102
                              59                           0.0105
                              60                           0.0109
