#Graph:          replica_15gr_replica_15
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000185
                               6                         0.000274
                               7                         0.000384
                               8                         0.000513
                               9                         0.000663
                              10                         0.000831
                              11                          0.00102
                              12                          0.00123
                              13                          0.00146
                              14                          0.00171
                              15                          0.00198
                              16                          0.00226
                              17                          0.00256
                              18                          0.00287
                              19                           0.0032
                              20                          0.00355
                              21                           0.0039
                              22                          0.00428
                              23                          0.00465
                              24                          0.00504
                              25                          0.00543
                              26                          0.00584
                              27                          0.00625
                              28                          0.00666
                              29                          0.00708
                              30                           0.0075
                              31                          0.00793
                              32                          0.00835
                              33                          0.00878
                              34                          0.00922
                              35                          0.00965
                              36                           0.0101
                              37                           0.0105
                              38                            0.011
                              39                           0.0114
                              40                           0.0118
                              41                           0.0123
                              42                           0.0127
                              43                           0.0131
                              44                           0.0135
                              45                           0.0139
                              46                           0.0144
                              47                           0.0148
                              48                           0.0152
                              49                           0.0156
                              50                            0.016
                              51                           0.0164
                              52                           0.0168
                              53                           0.0172
                              54                           0.0176
                              55                            0.018
                              56                           0.0183
                              57                           0.0187
                              58                           0.0191
                              59                           0.0195
                              60                           0.0199
