#Graph:          replica_76gr_replica_76
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                          0.00109
                               6                           0.0012
                               7                          0.00132
                               8                          0.00144
                               9                          0.00157
                              10                          0.00171
                              11                          0.00186
                              12                          0.00201
                              13                          0.00217
                              14                          0.00234
                              15                          0.00251
                              16                          0.00269
                              17                          0.00287
                              18                          0.00305
                              19                          0.00325
                              20                          0.00345
                              21                          0.00364
                              22                          0.00386
                              23                          0.00407
                              24                          0.00428
                              25                           0.0045
                              26                          0.00472
                              27                          0.00494
                              28                          0.00516
                              29                          0.00539
                              30                          0.00562
                              31                          0.00585
                              32                          0.00607
                              33                           0.0063
                              34                          0.00654
                              35                          0.00677
                              36                          0.00701
                              37                          0.00724
                              38                          0.00748
                              39                          0.00771
                              40                          0.00794
                              41                          0.00817
                              42                          0.00841
                              43                          0.00865
                              44                          0.00887
                              45                          0.00909
                              46                          0.00932
                              47                          0.00956
                              48                          0.00978
                              49                             0.01
                              50                           0.0102
                              51                           0.0105
                              52                           0.0107
                              53                           0.0109
                              54                           0.0111
                              55                           0.0113
                              56                           0.0115
                              57                           0.0117
                              58                           0.0119
                              59                           0.0122
                              60                           0.0124
