#Graph:          replica_26gr_replica_26
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                        -0.000118
                               6                        -8.38e-05
                               7                         -1.8e-05
                               8                         7.69e-05
                               9                         0.000198
                              10                         0.000342
                              11                         0.000509
                              12                         0.000696
                              13                         0.000901
                              14                          0.00112
                              15                          0.00136
                              16                          0.00161
                              17                          0.00188
                              18                          0.00215
                              19                          0.00243
                              20                          0.00273
                              21                          0.00303
                              22                          0.00335
                              23                          0.00366
                              24                          0.00399
                              25                          0.00431
                              26                          0.00464
                              27                          0.00497
                              28                          0.00531
                              29                          0.00564
                              30                          0.00598
                              31                          0.00631
                              32                          0.00664
                              33                          0.00697
                              34                          0.00731
                              35                          0.00764
                              36                          0.00797
                              37                          0.00829
                              38                          0.00862
                              39                          0.00894
                              40                          0.00924
                              41                          0.00956
                              42                          0.00986
                              43                           0.0102
                              44                           0.0105
                              45                           0.0108
                              46                            0.011
                              47                           0.0113
                              48                           0.0116
                              49                           0.0119
                              50                           0.0122
                              51                           0.0124
                              52                           0.0127
                              53                           0.0129
                              54                           0.0131
                              55                           0.0134
                              56                           0.0136
                              57                           0.0139
                              58                           0.0141
                              59                           0.0144
                              60                           0.0146
