#Graph:          replica_42gr_replica_42
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000225
                               6                         0.000344
                               7                          0.00048
                               8                         0.000628
                               9                          0.00079
                              10                         0.000962
                              11                          0.00115
                              12                          0.00134
                              13                          0.00155
                              14                          0.00176
                              15                          0.00198
                              16                           0.0022
                              17                          0.00244
                              18                          0.00267
                              19                          0.00291
                              20                          0.00316
                              21                           0.0034
                              22                          0.00366
                              23                          0.00391
                              24                          0.00416
                              25                          0.00441
                              26                          0.00467
                              27                          0.00492
                              28                          0.00518
                              29                          0.00543
                              30                          0.00568
                              31                          0.00593
                              32                          0.00618
                              33                          0.00643
                              34                          0.00668
                              35                          0.00693
                              36                          0.00719
                              37                          0.00743
                              38                          0.00769
                              39                          0.00794
                              40                          0.00817
                              41                          0.00842
                              42                          0.00867
                              43                          0.00893
                              44                          0.00917
                              45                          0.00941
                              46                          0.00965
                              47                          0.00992
                              48                           0.0102
                              49                           0.0104
                              50                           0.0107
                              51                           0.0109
                              52                           0.0112
                              53                           0.0114
                              54                           0.0117
                              55                            0.012
                              56                           0.0123
                              57                           0.0125
                              58                           0.0128
                              59                           0.0131
                              60                           0.0134
