#Graph:          replica_24gr_replica_24
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000859
                               6                          0.00119
                               7                          0.00151
                               8                          0.00181
                               9                          0.00212
                              10                          0.00243
                              11                          0.00274
                              12                          0.00305
                              13                          0.00336
                              14                          0.00367
                              15                          0.00398
                              16                          0.00429
                              17                           0.0046
                              18                           0.0049
                              19                          0.00521
                              20                          0.00552
                              21                          0.00581
                              22                          0.00613
                              23                          0.00642
                              24                          0.00671
                              25                            0.007
                              26                          0.00729
                              27                          0.00756
                              28                          0.00784
                              29                          0.00811
                              30                          0.00838
                              31                          0.00864
                              32                           0.0089
                              33                          0.00915
                              34                           0.0094
                              35                          0.00966
                              36                          0.00991
                              37                           0.0101
                              38                           0.0104
                              39                           0.0106
                              40                           0.0108
                              41                           0.0111
                              42                           0.0113
                              43                           0.0115
                              44                           0.0118
                              45                            0.012
                              46                           0.0122
                              47                           0.0124
                              48                           0.0126
                              49                           0.0128
                              50                            0.013
                              51                           0.0133
                              52                           0.0134
                              53                           0.0137
                              54                           0.0139
                              55                           0.0141
                              56                           0.0143
                              57                           0.0145
                              58                           0.0147
                              59                            0.015
                              60                           0.0152
