#Graph:          replica_22gr_replica_22
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000544
                               6                          0.00067
                               7                         0.000804
                               8                          0.00094
                               9                          0.00108
                              10                          0.00123
                              11                          0.00138
                              12                          0.00153
                              13                          0.00169
                              14                          0.00185
                              15                          0.00201
                              16                          0.00217
                              17                          0.00234
                              18                           0.0025
                              19                          0.00268
                              20                          0.00286
                              21                          0.00302
                              22                          0.00321
                              23                          0.00339
                              24                          0.00357
                              25                          0.00376
                              26                          0.00394
                              27                          0.00413
                              28                          0.00431
                              29                           0.0045
                              30                           0.0047
                              31                          0.00489
                              32                          0.00509
                              33                          0.00529
                              34                          0.00549
                              35                           0.0057
                              36                          0.00592
                              37                          0.00612
                              38                          0.00635
                              39                          0.00658
                              40                          0.00679
                              41                          0.00703
                              42                          0.00727
                              43                          0.00752
                              44                          0.00776
                              45                          0.00801
                              46                          0.00827
                              47                          0.00854
                              48                          0.00882
                              49                           0.0091
                              50                          0.00939
                              51                          0.00969
                              52                          0.00998
                              53                           0.0103
                              54                           0.0106
                              55                           0.0109
                              56                           0.0113
                              57                           0.0116
                              58                            0.012
                              59                           0.0124
                              60                           0.0128
