#Graph:          replica_87gr_replica_87
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         -0.00054
                               6                        -0.000359
                               7                        -0.000126
                               8                         0.000132
                               9                         0.000402
                              10                         0.000675
                              11                         0.000956
                              12                          0.00124
                              13                          0.00152
                              14                          0.00181
                              15                          0.00209
                              16                          0.00239
                              17                          0.00268
                              18                          0.00296
                              19                          0.00326
                              20                          0.00356
                              21                          0.00385
                              22                          0.00416
                              23                          0.00446
                              24                          0.00475
                              25                          0.00505
                              26                          0.00536
                              27                          0.00565
                              28                          0.00595
                              29                          0.00625
                              30                          0.00655
                              31                          0.00684
                              32                          0.00713
                              33                          0.00742
                              34                          0.00772
                              35                          0.00801
                              36                          0.00831
                              37                          0.00859
                              38                          0.00889
                              39                          0.00918
                              40                          0.00945
                              41                          0.00973
                              42                             0.01
                              43                           0.0103
                              44                           0.0106
                              45                           0.0108
                              46                           0.0111
                              47                           0.0114
                              48                           0.0117
                              49                           0.0119
                              50                           0.0122
                              51                           0.0125
                              52                           0.0127
                              53                            0.013
                              54                           0.0132
                              55                           0.0135
                              56                           0.0137
                              57                            0.014
                              58                           0.0142
                              59                           0.0145
                              60                           0.0147
