#Graph:          replica_16gr_replica_16
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000123
                               6                         0.000279
                               7                         0.000466
                               8                         0.000678
                               9                         0.000914
                              10                          0.00117
                              11                          0.00145
                              12                          0.00174
                              13                          0.00205
                              14                          0.00237
                              15                           0.0027
                              16                          0.00305
                              17                           0.0034
                              18                          0.00376
                              19                          0.00413
                              20                          0.00451
                              21                          0.00487
                              22                          0.00527
                              23                          0.00565
                              24                          0.00603
                              25                          0.00642
                              26                           0.0068
                              27                          0.00718
                              28                          0.00757
                              29                          0.00795
                              30                          0.00833
                              31                          0.00871
                              32                          0.00908
                              33                          0.00945
                              34                          0.00982
                              35                           0.0102
                              36                           0.0106
                              37                           0.0109
                              38                           0.0113
                              39                           0.0117
                              40                            0.012
                              41                           0.0124
                              42                           0.0127
                              43                           0.0131
                              44                           0.0134
                              45                           0.0137
                              46                           0.0141
                              47                           0.0144
                              48                           0.0148
                              49                           0.0151
                              50                           0.0154
                              51                           0.0158
                              52                           0.0161
                              53                           0.0164
                              54                           0.0167
                              55                            0.017
                              56                           0.0174
                              57                           0.0177
                              58                            0.018
                              59                           0.0184
                              60                           0.0187
