#Graph:          replica_81gr_replica_81
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         6.97e-05
                               6                         0.000175
                               7                          0.00029
                               8                         0.000414
                               9                         0.000548
                              10                         0.000691
                              11                         0.000847
                              12                          0.00101
                              13                          0.00119
                              14                          0.00137
                              15                          0.00157
                              16                          0.00178
                              17                            0.002
                              18                          0.00222
                              19                          0.00246
                              20                          0.00271
                              21                          0.00296
                              22                          0.00324
                              23                          0.00351
                              24                          0.00379
                              25                          0.00408
                              26                          0.00438
                              27                          0.00468
                              28                            0.005
                              29                          0.00531
                              30                          0.00564
                              31                          0.00597
                              32                           0.0063
                              33                          0.00664
                              34                          0.00698
                              35                          0.00733
                              36                          0.00769
                              37                          0.00804
                              38                          0.00841
                              39                          0.00877
                              40                          0.00912
                              41                          0.00948
                              42                          0.00985
                              43                           0.0102
                              44                           0.0106
                              45                           0.0109
                              46                           0.0113
                              47                           0.0117
                              48                           0.0121
                              49                           0.0124
                              50                           0.0128
                              51                           0.0132
                              52                           0.0135
                              53                           0.0139
                              54                           0.0142
                              55                           0.0146
                              56                            0.015
                              57                           0.0154
                              58                           0.0157
                              59                           0.0161
                              60                           0.0165
