#Graph:            replica_1gr_replica_1
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000711
                               6                         0.000744
                               7                           0.0008
                               8                         0.000867
                               9                         0.000947
                              10                          0.00103
                              11                          0.00113
                              12                          0.00124
                              13                          0.00135
                              14                          0.00148
                              15                          0.00161
                              16                          0.00175
                              17                          0.00189
                              18                          0.00204
                              19                           0.0022
                              20                          0.00237
                              21                          0.00254
                              22                          0.00273
                              23                          0.00291
                              24                           0.0031
                              25                           0.0033
                              26                          0.00351
                              27                          0.00371
                              28                          0.00393
                              29                          0.00414
                              30                          0.00436
                              31                          0.00459
                              32                          0.00481
                              33                          0.00504
                              34                          0.00527
                              35                          0.00551
                              36                          0.00575
                              37                          0.00599
                              38                          0.00624
                              39                          0.00648
                              40                          0.00671
                              41                          0.00696
                              42                          0.00721
                              43                          0.00746
                              44                           0.0077
                              45                          0.00794
                              46                          0.00818
                              47                          0.00844
                              48                          0.00868
                              49                          0.00893
                              50                          0.00918
                              51                          0.00942
                              52                          0.00965
                              53                          0.00989
                              54                           0.0101
                              55                           0.0104
                              56                           0.0106
                              57                           0.0109
                              58                           0.0111
                              59                           0.0113
                              60                           0.0116
