#Graph:          replica_47gr_replica_47
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                        -0.000117
                               6                        -0.000182
                               7                        -0.000218
                               8                        -0.000231
                               9                        -0.000225
                              10                        -0.000204
                              11                        -0.000169
                              12                        -0.000121
                              13                        -6.12e-05
                              14                         9.77e-06
                              15                         8.96e-05
                              16                          0.00018
                              17                         0.000279
                              18                         0.000387
                              19                         0.000505
                              20                          0.00063
                              21                          0.00076
                              22                         0.000903
                              23                          0.00105
                              24                           0.0012
                              25                          0.00136
                              26                          0.00153
                              27                           0.0017
                              28                          0.00188
                              29                          0.00206
                              30                          0.00225
                              31                          0.00244
                              32                          0.00264
                              33                          0.00284
                              34                          0.00305
                              35                          0.00327
                              36                          0.00349
                              37                          0.00371
                              38                          0.00394
                              39                          0.00417
                              40                           0.0044
                              41                          0.00464
                              42                          0.00488
                              43                          0.00513
                              44                          0.00538
                              45                          0.00563
                              46                          0.00589
                              47                          0.00616
                              48                          0.00642
                              49                           0.0067
                              50                          0.00698
                              51                          0.00725
                              52                          0.00753
                              53                          0.00782
                              54                           0.0081
                              55                           0.0084
                              56                           0.0087
                              57                          0.00902
                              58                          0.00933
                              59                          0.00966
                              60                          0.00998
