#Graph:            replica_8gr_replica_8
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000492
                               6                         0.000612
                               7                         0.000745
                               8                         0.000885
                               9                          0.00104
                              10                          0.00119
                              11                          0.00136
                              12                          0.00153
                              13                          0.00171
                              14                           0.0019
                              15                          0.00209
                              16                          0.00229
                              17                          0.00249
                              18                          0.00269
                              19                           0.0029
                              20                          0.00311
                              21                          0.00332
                              22                          0.00355
                              23                          0.00377
                              24                          0.00399
                              25                          0.00422
                              26                          0.00444
                              27                          0.00467
                              28                           0.0049
                              29                          0.00512
                              30                          0.00536
                              31                          0.00558
                              32                          0.00581
                              33                          0.00604
                              34                          0.00627
                              35                           0.0065
                              36                          0.00674
                              37                          0.00696
                              38                           0.0072
                              39                          0.00744
                              40                          0.00766
                              41                          0.00789
                              42                          0.00812
                              43                          0.00836
                              44                          0.00859
                              45                          0.00881
                              46                          0.00903
                              47                          0.00928
                              48                           0.0095
                              49                          0.00974
                              50                          0.00997
                              51                           0.0102
                              52                           0.0104
                              53                           0.0106
                              54                           0.0109
                              55                           0.0111
                              56                           0.0113
                              57                           0.0116
                              58                           0.0118
                              59                            0.012
                              60                           0.0123
