#Graph:          replica_57gr_replica_57
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000737
                               6                         0.000837
                               7                         0.000951
                               8                          0.00107
                               9                           0.0012
                              10                          0.00134
                              11                          0.00149
                              12                          0.00165
                              13                          0.00182
                              14                          0.00201
                              15                           0.0022
                              16                          0.00241
                              17                          0.00263
                              18                          0.00285
                              19                          0.00309
                              20                          0.00335
                              21                          0.00361
                              22                          0.00391
                              23                           0.0042
                              24                          0.00451
                              25                          0.00484
                              26                          0.00518
                              27                          0.00554
                              28                          0.00591
                              29                           0.0063
                              30                          0.00671
                              31                          0.00713
                              32                          0.00757
                              33                          0.00802
                              34                           0.0085
                              35                            0.009
                              36                          0.00951
                              37                             0.01
                              38                           0.0106
                              39                           0.0112
                              40                           0.0117
                              41                           0.0123
                              42                           0.0129
                              43                           0.0136
                              44                           0.0142
                              45                           0.0149
                              46                           0.0155
                              47                           0.0163
                              48                           0.0169
                              49                           0.0177
                              50                           0.0184
                              51                           0.0192
                              52                           0.0199
                              53                           0.0207
                              54                           0.0215
                              55                           0.0223
                              56                           0.0231
                              57                           0.0239
                              58                           0.0247
                              59                           0.0256
                              60                           0.0264
