#Graph:          replica_60gr_replica_60
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000191
                               6                         0.000247
                               7                         0.000321
                               8                         0.000411
                               9                         0.000524
                              10                         0.000659
                              11                          0.00082
                              12                          0.00101
                              13                          0.00122
                              14                          0.00145
                              15                          0.00171
                              16                            0.002
                              17                           0.0023
                              18                          0.00262
                              19                          0.00296
                              20                          0.00331
                              21                          0.00367
                              22                          0.00406
                              23                          0.00444
                              24                          0.00483
                              25                          0.00523
                              26                          0.00563
                              27                          0.00602
                              28                          0.00642
                              29                          0.00682
                              30                          0.00721
                              31                           0.0076
                              32                          0.00797
                              33                          0.00835
                              34                          0.00871
                              35                          0.00907
                              36                          0.00943
                              37                          0.00977
                              38                           0.0101
                              39                           0.0104
                              40                           0.0107
                              41                            0.011
                              42                           0.0113
                              43                           0.0116
                              44                           0.0119
                              45                           0.0122
                              46                           0.0124
                              47                           0.0127
                              48                           0.0129
                              49                           0.0132
                              50                           0.0134
                              51                           0.0136
                              52                           0.0138
                              53                            0.014
                              54                           0.0142
                              55                           0.0144
                              56                           0.0146
                              57                           0.0148
                              58                           0.0149
                              59                           0.0151
                              60                           0.0153
