#Graph:          replica_34gr_replica_34
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000434
                               6                          0.00059
                               7                         0.000757
                               8                         0.000928
                               9                          0.00111
                              10                           0.0013
                              11                           0.0015
                              12                           0.0017
                              13                          0.00192
                              14                          0.00213
                              15                          0.00235
                              16                          0.00258
                              17                          0.00281
                              18                          0.00304
                              19                          0.00327
                              20                          0.00352
                              21                          0.00375
                              22                            0.004
                              23                          0.00423
                              24                          0.00447
                              25                          0.00471
                              26                          0.00494
                              27                          0.00517
                              28                           0.0054
                              29                          0.00563
                              30                          0.00586
                              31                          0.00608
                              32                           0.0063
                              33                          0.00651
                              34                          0.00672
                              35                          0.00694
                              36                          0.00715
                              37                          0.00734
                              38                          0.00755
                              39                          0.00775
                              40                          0.00793
                              41                          0.00812
                              42                           0.0083
                              43                          0.00849
                              44                          0.00866
                              45                          0.00883
                              46                          0.00899
                              47                          0.00917
                              48                          0.00932
                              49                          0.00949
                              50                          0.00964
                              51                          0.00979
                              52                          0.00992
                              53                           0.0101
                              54                           0.0102
                              55                           0.0103
                              56                           0.0105
                              57                           0.0106
                              58                           0.0107
                              59                           0.0109
                              60                            0.011
