#Graph:          replica_32gr_replica_32
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         2.76e-05
                               6                         0.000233
                               7                         0.000468
                               8                         0.000723
                               9                         0.000997
                              10                          0.00128
                              11                          0.00158
                              12                           0.0019
                              13                          0.00222
                              14                          0.00255
                              15                          0.00288
                              16                          0.00323
                              17                          0.00358
                              18                          0.00392
                              19                          0.00428
                              20                          0.00465
                              21                          0.00501
                              22                          0.00539
                              23                          0.00575
                              24                          0.00612
                              25                          0.00648
                              26                          0.00685
                              27                          0.00721
                              28                          0.00757
                              29                          0.00793
                              30                          0.00829
                              31                          0.00864
                              32                          0.00899
                              33                          0.00933
                              34                          0.00967
                              35                             0.01
                              36                           0.0104
                              37                           0.0107
                              38                            0.011
                              39                           0.0114
                              40                           0.0117
                              41                            0.012
                              42                           0.0123
                              43                           0.0126
                              44                           0.0129
                              45                           0.0132
                              46                           0.0135
                              47                           0.0138
                              48                           0.0141
                              49                           0.0144
                              50                           0.0147
                              51                            0.015
                              52                           0.0152
                              53                           0.0155
                              54                           0.0158
                              55                            0.016
                              56                           0.0163
                              57                           0.0166
                              58                           0.0169
                              59                           0.0172
                              60                           0.0174
