#Graph:          replica_68gr_replica_68
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000183
                               6                          0.00033
                               7                         0.000494
                               8                         0.000672
                               9                         0.000865
                              10                          0.00107
                              11                          0.00129
                              12                          0.00152
                              13                          0.00176
                              14                          0.00201
                              15                          0.00226
                              16                          0.00253
                              17                          0.00281
                              18                          0.00309
                              19                          0.00338
                              20                          0.00369
                              21                          0.00399
                              22                          0.00432
                              23                          0.00463
                              24                          0.00496
                              25                          0.00529
                              26                          0.00563
                              27                          0.00597
                              28                          0.00632
                              29                          0.00667
                              30                          0.00703
                              31                          0.00739
                              32                          0.00776
                              33                          0.00812
                              34                           0.0085
                              35                          0.00889
                              36                          0.00928
                              37                          0.00966
                              38                           0.0101
                              39                           0.0105
                              40                           0.0109
                              41                           0.0113
                              42                           0.0117
                              43                           0.0121
                              44                           0.0126
                              45                            0.013
                              46                           0.0134
                              47                           0.0139
                              48                           0.0143
                              49                           0.0148
                              50                           0.0153
                              51                           0.0157
                              52                           0.0162
                              53                           0.0167
                              54                           0.0172
                              55                           0.0177
                              56                           0.0182
                              57                           0.0187
                              58                           0.0192
                              59                           0.0198
                              60                           0.0203
