#Graph:            replica_2gr_replica_2
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         3.52e-05
                               6                          8.6e-05
                               7                         0.000144
                               8                         0.000208
                               9                         0.000279
                              10                         0.000357
                              11                         0.000444
                              12                         0.000539
                              13                         0.000642
                              14                         0.000752
                              15                          0.00087
                              16                         0.000998
                              17                          0.00113
                              18                          0.00127
                              19                          0.00143
                              20                          0.00159
                              21                          0.00176
                              22                          0.00194
                              23                          0.00212
                              24                          0.00231
                              25                          0.00252
                              26                          0.00273
                              27                          0.00294
                              28                          0.00316
                              29                          0.00339
                              30                          0.00363
                              31                          0.00387
                              32                          0.00412
                              33                          0.00438
                              34                          0.00464
                              35                          0.00491
                              36                          0.00519
                              37                          0.00547
                              38                          0.00576
                              39                          0.00605
                              40                          0.00634
                              41                          0.00665
                              42                          0.00696
                              43                          0.00728
                              44                          0.00759
                              45                          0.00791
                              46                          0.00823
                              47                          0.00858
                              48                           0.0089
                              49                          0.00925
                              50                          0.00959
                              51                          0.00994
                              52                           0.0103
                              53                           0.0106
                              54                            0.011
                              55                           0.0113
                              56                           0.0117
                              57                           0.0121
                              58                           0.0124
                              59                           0.0128
                              60                           0.0132
