#Graph:          replica_10gr_replica_10
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000107
                               6                         0.000209
                               7                         0.000316
                               8                         0.000424
                               9                         0.000536
                              10                         0.000649
                              11                         0.000768
                              12                         0.000892
                              13                          0.00102
                              14                          0.00115
                              15                          0.00129
                              16                          0.00143
                              17                          0.00158
                              18                          0.00173
                              19                          0.00189
                              20                          0.00206
                              21                          0.00223
                              22                          0.00241
                              23                          0.00259
                              24                          0.00278
                              25                          0.00297
                              26                          0.00317
                              27                          0.00338
                              28                          0.00358
                              29                           0.0038
                              30                          0.00403
                              31                          0.00425
                              32                          0.00448
                              33                          0.00472
                              34                          0.00496
                              35                          0.00521
                              36                          0.00547
                              37                          0.00572
                              38                          0.00598
                              39                          0.00624
                              40                          0.00649
                              41                          0.00676
                              42                          0.00702
                              43                          0.00729
                              44                          0.00754
                              45                          0.00779
                              46                          0.00804
                              47                          0.00831
                              48                          0.00855
                              49                          0.00881
                              50                          0.00905
                              51                           0.0093
                              52                          0.00952
                              53                          0.00976
                              54                          0.00998
                              55                           0.0102
                              56                           0.0104
                              57                           0.0107
                              58                           0.0109
                              59                           0.0111
                              60                           0.0113
