#Graph:          replica_13gr_replica_13
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000222
                               6                         0.000327
                               7                         0.000444
                               8                         0.000571
                               9                         0.000708
                              10                         0.000851
                              11                          0.00101
                              12                          0.00117
                              13                          0.00133
                              14                           0.0015
                              15                          0.00168
                              16                          0.00186
                              17                          0.00204
                              18                          0.00222
                              19                          0.00242
                              20                          0.00261
                              21                           0.0028
                              22                            0.003
                              23                           0.0032
                              24                           0.0034
                              25                          0.00359
                              26                          0.00379
                              27                          0.00399
                              28                          0.00419
                              29                          0.00439
                              30                          0.00459
                              31                          0.00478
                              32                          0.00498
                              33                          0.00517
                              34                          0.00537
                              35                          0.00557
                              36                          0.00577
                              37                          0.00596
                              38                          0.00617
                              39                          0.00637
                              40                          0.00656
                              41                          0.00676
                              42                          0.00695
                              43                          0.00717
                              44                          0.00736
                              45                          0.00756
                              46                          0.00775
                              47                          0.00797
                              48                          0.00818
                              49                          0.00839
                              50                           0.0086
                              51                          0.00881
                              52                          0.00902
                              53                          0.00924
                              54                          0.00946
                              55                          0.00968
                              56                          0.00992
                              57                           0.0102
                              58                           0.0104
                              59                           0.0107
                              60                           0.0109
