#Graph:          replica_98gr_replica_98
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         5.14e-05
                               6                         6.23e-05
                               7                         7.77e-05
                               8                         9.67e-05
                               9                         0.000121
                              10                          0.00015
                              11                         0.000187
                              12                         0.000231
                              13                         0.000285
                              14                         0.000348
                              15                         0.000422
                              16                         0.000511
                              17                         0.000613
                              18                         0.000727
                              19                         0.000861
                              20                          0.00101
                              21                          0.00118
                              22                          0.00137
                              23                          0.00158
                              24                          0.00181
                              25                          0.00205
                              26                          0.00233
                              27                          0.00262
                              28                          0.00294
                              29                          0.00328
                              30                          0.00364
                              31                          0.00403
                              32                          0.00444
                              33                          0.00487
                              34                          0.00533
                              35                          0.00581
                              36                          0.00632
                              37                          0.00684
                              38                           0.0074
                              39                          0.00797
                              40                          0.00855
                              41                          0.00917
                              42                          0.00981
                              43                           0.0105
                              44                           0.0111
                              45                           0.0118
                              46                           0.0125
                              47                           0.0133
                              48                            0.014
                              49                           0.0148
                              50                           0.0156
                              51                           0.0164
                              52                           0.0172
                              53                            0.018
                              54                           0.0188
                              55                           0.0197
                              56                           0.0206
                              57                           0.0215
                              58                           0.0224
                              59                           0.0233
                              60                           0.0242
