#Graph:          replica_38gr_replica_38
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000154
                               6                         0.000226
                               7                         0.000319
                               8                         0.000432
                               9                         0.000568
                              10                         0.000726
                              11                         0.000911
                              12                          0.00112
                              13                          0.00135
                              14                          0.00161
                              15                          0.00188
                              16                          0.00218
                              17                          0.00251
                              18                          0.00284
                              19                           0.0032
                              20                          0.00358
                              21                          0.00397
                              22                          0.00439
                              23                          0.00481
                              24                          0.00524
                              25                          0.00568
                              26                          0.00614
                              27                          0.00659
                              28                          0.00706
                              29                          0.00753
                              30                          0.00801
                              31                          0.00848
                              32                          0.00896
                              33                          0.00943
                              34                          0.00991
                              35                           0.0104
                              36                           0.0109
                              37                           0.0113
                              38                           0.0118
                              39                           0.0123
                              40                           0.0127
                              41                           0.0132
                              42                           0.0136
                              43                           0.0141
                              44                           0.0145
                              45                           0.0149
                              46                           0.0154
                              47                           0.0158
                              48                           0.0162
                              49                           0.0166
                              50                            0.017
                              51                           0.0174
                              52                           0.0177
                              53                           0.0181
                              54                           0.0184
                              55                           0.0187
                              56                           0.0191
                              57                           0.0194
                              58                           0.0197
                              59                           0.0201
                              60                           0.0204
