#Graph:          replica_71gr_replica_71
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000765
                               6                         0.000924
                               7                          0.00109
                               8                          0.00124
                               9                           0.0014
                              10                          0.00156
                              11                          0.00172
                              12                          0.00188
                              13                          0.00204
                              14                           0.0022
                              15                          0.00236
                              16                          0.00252
                              17                          0.00268
                              18                          0.00284
                              19                            0.003
                              20                          0.00317
                              21                          0.00333
                              22                           0.0035
                              23                          0.00367
                              24                          0.00383
                              25                            0.004
                              26                          0.00416
                              27                          0.00433
                              28                           0.0045
                              29                          0.00467
                              30                          0.00484
                              31                          0.00501
                              32                          0.00518
                              33                          0.00535
                              34                          0.00553
                              35                          0.00571
                              36                           0.0059
                              37                          0.00608
                              38                          0.00628
                              39                          0.00647
                              40                          0.00665
                              41                          0.00686
                              42                          0.00706
                              43                          0.00728
                              44                          0.00749
                              45                           0.0077
                              46                          0.00792
                              47                          0.00816
                              48                          0.00839
                              49                          0.00863
                              50                          0.00888
                              51                          0.00913
                              52                          0.00938
                              53                          0.00965
                              54                          0.00992
                              55                           0.0102
                              56                           0.0105
                              57                           0.0108
                              58                           0.0111
                              59                           0.0114
                              60                           0.0118
