#Graph:          replica_50gr_replica_50
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000481
                               6                         0.000599
                               7                         0.000725
                               8                         0.000852
                               9                         0.000986
                              10                          0.00112
                              11                          0.00127
                              12                          0.00142
                              13                          0.00157
                              14                          0.00173
                              15                          0.00189
                              16                          0.00205
                              17                          0.00222
                              18                          0.00239
                              19                          0.00256
                              20                          0.00275
                              21                          0.00292
                              22                          0.00311
                              23                          0.00329
                              24                          0.00348
                              25                          0.00367
                              26                          0.00386
                              27                          0.00405
                              28                          0.00424
                              29                          0.00443
                              30                          0.00462
                              31                          0.00482
                              32                          0.00501
                              33                           0.0052
                              34                           0.0054
                              35                           0.0056
                              36                           0.0058
                              37                          0.00599
                              38                           0.0062
                              39                           0.0064
                              40                          0.00659
                              41                          0.00679
                              42                          0.00699
                              43                           0.0072
                              44                           0.0074
                              45                           0.0076
                              46                           0.0078
                              47                          0.00801
                              48                          0.00821
                              49                          0.00843
                              50                          0.00863
                              51                          0.00884
                              52                          0.00904
                              53                          0.00925
                              54                          0.00945
                              55                          0.00967
                              56                          0.00989
                              57                           0.0101
                              58                           0.0103
                              59                           0.0106
                              60                           0.0108
