#Graph:          replica_48gr_replica_48
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                          0.00016
                               6                         0.000207
                               7                          0.00026
                               8                         0.000319
                               9                         0.000385
                              10                         0.000456
                              11                         0.000535
                              12                          0.00062
                              13                          0.00071
                              14                         0.000807
                              15                          0.00091
                              16                          0.00102
                              17                          0.00114
                              18                          0.00125
                              19                          0.00138
                              20                          0.00152
                              21                          0.00165
                              22                          0.00181
                              23                          0.00196
                              24                          0.00211
                              25                          0.00228
                              26                          0.00245
                              27                          0.00262
                              28                           0.0028
                              29                          0.00299
                              30                          0.00319
                              31                          0.00338
                              32                          0.00359
                              33                          0.00379
                              34                          0.00401
                              35                          0.00424
                              36                          0.00447
                              37                           0.0047
                              38                          0.00495
                              39                           0.0052
                              40                          0.00544
                              41                          0.00571
                              42                          0.00597
                              43                          0.00625
                              44                          0.00653
                              45                          0.00681
                              46                           0.0071
                              47                          0.00741
                              48                          0.00772
                              49                          0.00804
                              50                          0.00836
                              51                          0.00869
                              52                          0.00901
                              53                          0.00936
                              54                           0.0097
                              55                           0.0101
                              56                           0.0104
                              57                           0.0108
                              58                           0.0112
                              59                           0.0116
                              60                            0.012
