#Graph:          replica_54gr_replica_54
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         -0.00012
                               6                        -7.45e-05
                               7                        -5.11e-06
                               8                         8.36e-05
                               9                         0.000189
                              10                          0.00031
                              11                         0.000447
                              12                         0.000598
                              13                         0.000763
                              14                         0.000941
                              15                          0.00113
                              16                          0.00134
                              17                          0.00156
                              18                          0.00179
                              19                          0.00204
                              20                          0.00231
                              21                          0.00258
                              22                          0.00287
                              23                          0.00317
                              24                          0.00348
                              25                          0.00381
                              26                          0.00415
                              27                           0.0045
                              28                          0.00486
                              29                          0.00523
                              30                          0.00562
                              31                          0.00601
                              32                          0.00642
                              33                          0.00683
                              34                          0.00725
                              35                          0.00769
                              36                          0.00813
                              37                          0.00858
                              38                          0.00905
                              39                          0.00951
                              40                          0.00997
                              41                           0.0104
                              42                           0.0109
                              43                           0.0114
                              44                           0.0119
                              45                           0.0124
                              46                           0.0129
                              47                           0.0134
                              48                           0.0139
                              49                           0.0144
                              50                            0.015
                              51                           0.0155
                              52                            0.016
                              53                           0.0165
                              54                            0.017
                              55                           0.0175
                              56                            0.018
                              57                           0.0186
                              58                           0.0191
                              59                           0.0196
                              60                           0.0201
