#Graph:          replica_88gr_replica_88
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                          0.00131
                               6                          0.00145
                               7                          0.00161
                               8                          0.00178
                               9                          0.00197
                              10                          0.00216
                              11                          0.00236
                              12                          0.00258
                              13                           0.0028
                              14                          0.00303
                              15                          0.00327
                              16                          0.00352
                              17                          0.00378
                              18                          0.00403
                              19                          0.00429
                              20                          0.00458
                              21                          0.00484
                              22                          0.00515
                              23                          0.00543
                              24                          0.00572
                              25                          0.00602
                              26                          0.00632
                              27                          0.00663
                              28                          0.00693
                              29                          0.00724
                              30                          0.00756
                              31                          0.00787
                              32                          0.00819
                              33                           0.0085
                              34                          0.00882
                              35                          0.00915
                              36                          0.00948
                              37                           0.0098
                              38                           0.0101
                              39                           0.0105
                              40                           0.0108
                              41                           0.0111
                              42                           0.0115
                              43                           0.0118
                              44                           0.0121
                              45                           0.0125
                              46                           0.0128
                              47                           0.0132
                              48                           0.0135
                              49                           0.0139
                              50                           0.0142
                              51                           0.0146
                              52                           0.0149
                              53                           0.0152
                              54                           0.0156
                              55                           0.0159
                              56                           0.0163
                              57                           0.0167
                              58                           0.0171
                              59                           0.0174
                              60                           0.0178
