#Graph:          replica_95gr_replica_95
#              Jet p_{T} [GeV/c]                       Jet A_{LL}
                               5                         0.000664
                               6                         0.000845
                               7                          0.00105
                               8                          0.00127
                               9                           0.0015
                              10                          0.00175
                              11                          0.00201
                              12                          0.00228
                              13                          0.00256
                              14                          0.00284
                              15                          0.00313
                              16                          0.00343
                              17                          0.00373
                              18                          0.00403
                              19                          0.00434
                              20                          0.00466
                              21                          0.00496
                              22                           0.0053
                              23                          0.00561
                              24                          0.00593
                              25                          0.00625
                              26                          0.00657
                              27                          0.00688
                              28                           0.0072
                              29                          0.00751
                              30                          0.00783
                              31                          0.00814
                              32                          0.00845
                              33                          0.00876
                              34                          0.00907
                              35                          0.00939
                              36                           0.0097
                              37                             0.01
                              38                           0.0103
                              39                           0.0106
                              40                           0.0109
                              41                           0.0112
                              42                           0.0115
                              43                           0.0118
                              44                           0.0121
                              45                           0.0124
                              46                           0.0127
                              47                            0.013
                              48                           0.0133
                              49                           0.0136
                              50                           0.0139
                              51                           0.0142
                              52                           0.0145
                              53                           0.0148
                              54                           0.0151
                              55                           0.0154
                              56                           0.0157
                              57                           0.0161
                              58                           0.0164
                              59                           0.0167
                              60                            0.017
