# xval	 xerr-	 xerr+	 yval	 yerr-	 yerr+
1.406250e+01	1.006940e+00	1.006940e+00	1.342210e-03	0.000000e+00	0.000000e+00
1.607639e+01	1.006945e+00	1.006945e+00	1.242219e-03	0.000000e+00	0.000000e+00
1.809027e+01	1.006945e+00	1.006945e+00	7.600802e-04	0.000000e+00	0.000000e+00
2.010417e+01	1.006945e+00	1.006945e+00	7.577017e-04	0.000000e+00	0.000000e+00
2.211805e+01	1.006945e+00	1.006945e+00	1.020154e-03	0.000000e+00	0.000000e+00
2.413195e+01	1.006945e+00	1.006945e+00	1.292225e-03	0.000000e+00	0.000000e+00
2.614583e+01	1.006945e+00	1.006945e+00	1.586566e-03	0.000000e+00	0.000000e+00
2.815973e+01	1.006945e+00	1.006945e+00	1.916381e-03	0.000000e+00	0.000000e+00
3.017361e+01	1.006945e+00	1.006945e+00	2.221344e-03	0.000000e+00	0.000000e+00
3.218750e+01	1.006940e+00	1.006940e+00	2.620378e-03	0.000000e+00	0.000000e+00
3.420139e+01	1.006945e+00	1.006945e+00	2.900382e-03	0.000000e+00	0.000000e+00
3.621527e+01	1.006945e+00	1.006945e+00	3.305032e-03	0.000000e+00	0.000000e+00
3.822916e+01	1.006945e+00	1.006945e+00	3.707103e-03	0.000000e+00	0.000000e+00
4.024305e+01	1.006945e+00	1.006945e+00	4.104673e-03	0.000000e+00	0.000000e+00
4.225695e+01	1.006945e+00	1.006945e+00	4.433929e-03	0.000000e+00	0.000000e+00
4.427084e+01	1.006945e+00	1.006945e+00	4.853291e-03	0.000000e+00	0.000000e+00
4.628473e+01	1.006945e+00	1.006945e+00	5.255629e-03	0.000000e+00	0.000000e+00
4.829861e+01	1.006945e+00	1.006945e+00	5.629336e-03	0.000000e+00	0.000000e+00
5.031250e+01	1.006940e+00	1.006940e+00	5.966700e-03	0.000000e+00	0.000000e+00
5.232639e+01	1.006945e+00	1.006945e+00	6.198395e-03	0.000000e+00	0.000000e+00
5.434027e+01	1.006945e+00	1.006945e+00	7.055280e-03	0.000000e+00	0.000000e+00
5.635416e+01	1.006945e+00	1.006945e+00	7.310184e-03	0.000000e+00	0.000000e+00
5.836805e+01	1.006945e+00	1.006945e+00	7.818234e-03	0.000000e+00	0.000000e+00
6.038195e+01	1.006945e+00	1.006945e+00	7.765860e-03	0.000000e+00	0.000000e+00
6.239584e+01	1.006945e+00	1.006945e+00	8.595989e-03	0.000000e+00	0.000000e+00
6.440972e+01	1.006945e+00	1.006945e+00	8.898824e-03	0.000000e+00	0.000000e+00
6.642361e+01	1.006945e+00	1.006945e+00	9.205803e-03	0.000000e+00	0.000000e+00
6.843750e+01	1.006940e+00	1.006940e+00	9.509024e-03	0.000000e+00	0.000000e+00
7.045139e+01	1.006945e+00	1.006945e+00	9.874516e-03	0.000000e+00	0.000000e+00
7.246527e+01	1.006945e+00	1.006945e+00	1.020561e-02	0.000000e+00	0.000000e+00
7.447916e+01	1.006945e+00	1.006945e+00	1.020758e-02	0.000000e+00	0.000000e+00
7.649305e+01	1.006945e+00	1.006945e+00	1.106719e-02	0.000000e+00	0.000000e+00
7.850695e+01	1.006945e+00	1.006945e+00	1.154611e-02	0.000000e+00	0.000000e+00
8.052084e+01	1.006945e+00	1.006945e+00	1.168935e-02	0.000000e+00	0.000000e+00
8.253473e+01	1.006945e+00	1.006945e+00	1.318780e-02	0.000000e+00	0.000000e+00
8.454861e+01	1.006945e+00	1.006945e+00	1.240865e-02	0.000000e+00	0.000000e+00
8.656250e+01	1.006940e+00	1.006940e+00	1.231658e-02	0.000000e+00	0.000000e+00
8.857639e+01	1.006945e+00	1.006945e+00	1.354080e-02	0.000000e+00	0.000000e+00
9.059027e+01	1.006945e+00	1.006945e+00	1.288531e-02	0.000000e+00	0.000000e+00
9.260416e+01	1.006945e+00	1.006945e+00	1.373433e-02	0.000000e+00	0.000000e+00
9.461805e+01	1.006945e+00	1.006945e+00	1.468497e-02	0.000000e+00	0.000000e+00
9.663195e+01	1.006945e+00	1.006945e+00	1.343544e-02	0.000000e+00	0.000000e+00
9.864584e+01	1.006945e+00	1.006945e+00	1.451438e-02	0.000000e+00	0.000000e+00
1.006597e+02	1.006960e+00	1.006960e+00	1.475235e-02	0.000000e+00	0.000000e+00
1.026737e+02	1.006950e+00	1.006950e+00	1.466874e-02	0.000000e+00	0.000000e+00
1.046875e+02	1.006900e+00	1.006900e+00	1.534225e-02	0.000000e+00	0.000000e+00
1.067013e+02	1.006950e+00	1.006950e+00	1.596469e-02	0.000000e+00	0.000000e+00
1.087152e+02	1.006950e+00	1.006950e+00	1.661594e-02	0.000000e+00	0.000000e+00
1.107292e+02	1.006950e+00	1.006950e+00	1.675483e-02	0.000000e+00	0.000000e+00
1.127430e+02	1.006950e+00	1.006950e+00	1.599145e-02	0.000000e+00	0.000000e+00
